Sales,Ad_Spend,Email_Campaigns,Website_Traffic,Avg_Rating,Discount_Pct,Competitor_Price_Index,Inventory_Level,Social_Media_Engagement,Season,Product_Type,Category_ID,Month
327.96,16.6,4,161.38,4.42,8.94,107.71,1004,9.28,Fall,Electronics,4,11
737.43,60.08,6,376.46,4.36,14.55,89.35,653,48.72,Winter,Electronics,4,12
340.89,43.36,9,127.93,4.65,10.95,88.27,1380,23.48,Winter,Electronics,4,13
361.63,9.4,13,159.89,4.42,12.55,90.75,821,52.68,Spring,Electronics,4,14
474.79,75.65,7,122.3,4.12,22.23,105.48,637,41.84,Spring,Electronics,4,15
304.05,12.83,7,132.62,3.75,20.41,96.07,1246,58.77,Spring,Electronics,4,16
407.75,43.51,9,197.62,4.13,2.89,74.74,1448,74.55,Summer,Electronics,4,17
232.47,27.59,14,61.74,2.69,7.59,93.47,1121,58.29,Summer,Electronics,4,18
292.32,17.91,12,109.44,4.45,21.64,134.16,935,32.06,Winter,Home,5,1
460.28,28.37,6,216.17,3.79,5.72,109.71,806,73.43,Winter,Home,5,2
420.7,35.1,7,228.93,3.61,10.49,75.86,1139,75.66,Spring,Home,5,3
289.2,14.59,7,113.5,4.79,19.87,120.79,565,17.05,Spring,Home,5,4
629.94,57.31,5,308.41,4.61,4.72,121.56,881,31.43,Spring,Home,5,5
419.87,51.21,3,215.26,4.26,20.84,87.66,1103,28.65,Summer,Home,5,6
303.65,35.82,13,111.07,4.48,11.62,84.58,750,22.47,Summer,Home,5,7
277.26,17.83,10,129.01,3.99,2.78,104.86,419,22.53,Summer,Home,5,8
423.17,41.57,6,173.17,4.75,8.6,107.06,436,31.83,Fall,Home,5,9
339.02,9.02,9,249.24,3.66,6.39,94.37,1864,40.66,Fall,Home,5,10
337.77,11.44,2,205.39,4.59,6.6,107.49,1051,41.93,Fall,Home,5,11
430.47,27.93,11,178.31,4.81,10.04,91.84,692,26.12,Winter,Home,5,12
271.14,25.81,11,71.01,4.55,8.98,94.25,1266,72.68,Winter,Home,5,13
498.9,31.75,3,273.1,3.88,3.88,99.87,817,73.57,Spring,Home,5,14
320.56,78.45,10,84.61,4.57,26.88,97,2431,44.93,Spring,Home,5,15
379.16,40.47,9,144.43,4.47,4.26,120.27,867,78.91,Spring,Home,5,16
310.64,33.87,9,143.42,4.12,4.71,101.33,1373,48.99,Summer,Home,5,17
316.91,25.11,2,157.58,4.59,28.31,104.15,1041,31.46,Summer,Home,5,18
621.12,31.13,3,340.36,4.54,5.42,69.49,400,51.92,Winter,Fashion,6,1
229.46,30.26,6,74.16,4.34,7.04,97.63,1564,38.56,Winter,Fashion,6,2
194.77,27.4,8,59.38,4.29,25.82,78.41,1137,31.97,Spring,Fashion,6,3
212.62,39.4,11,49.85,4.89,6.41,60.68,663,45.79,Spring,Fashion,6,4
261.6,22.6,5,127.56,4.37,18.31,84.35,1226,50.22,Spring,Fashion,6,5
511.56,35.49,10,270.55,4.35,15.01,111.25,528,30.66,Summer,Fashion,6,6
620.63,12.09,9,434.79,4.22,9.61,117.93,1305,33.85,Summer,Fashion,6,7
263.58,46.76,7,83.2,4.52,8.91,96.17,1593,14.02,Summer,Fashion,6,8
351.6,21,5,177.7,4.83,18.09,80.29,1001,29.59,Fall,Fashion,6,9
363.38,23.08,9,232.26,3.39,14.13,92.22,1740,86.15,Fall,Fashion,6,10
584.84,20.37,9,370.26,4.21,13.26,80.37,845,17.62,Fall,Fashion,6,11
474.55,33.25,8,284.31,4.79,7.94,85.87,1568,18.64,Winter,Fashion,6,12
411.48,24.65,6,198.97,3.84,2.93,90.1,832,48.82,Winter,Fashion,6,13
248.4,19.75,6,149.74,3.69,12.99,55.84,1663,38.56,Spring,Fashion,6,14
280.4,62.68,11,72.26,3.37,0.81,96.43,854,74.56,Spring,Fashion,6,15
258.47,22.58,6,123.51,4.58,16.22,110.18,1835,45.12,Spring,Fashion,6,16
163.78,23.01,11,65.42,4.26,18.07,86.47,690,26.47,Summer,Fashion,6,17
462.53,58.23,11,228.68,3.67,9.84,87.41,529,41.79,Summer,Fashion,6,18
467.39,22.98,10,268.06,4.4,17.18,98.97,896,32.48,Winter,Fashion,7,1
545.1,22.96,7,354.07,3,14.43,102.53,448,56.11,Winter,Fashion,7,2
341.28,55.47,4,135.46,4.28,6.26,98.44,1462,65.41,Spring,Fashion,7,3
151.7,19.11,9,96.98,4.61,6.77,84.25,1710,31.61,Spring,Fashion,7,4
443.1,91.86,9,112.36,4.65,25.9,81.27,1131,45.15,Spring,Fashion,7,5
136.02,10.73,8,41.44,4.2,13.63,118.77,1209,74.75,Summer,Fashion,7,6
282.09,8.99,5,169.58,4.25,11.29,111.26,954,40.43,Summer,Fashion,7,7
431.2,27.78,9,219.25,4.41,9.48,128.24,596,28.25,Summer,Fashion,7,8
329.15,82.57,4,86.96,3.31,10.61,96.41,1703,68.26,Fall,Fashion,7,9
419.6,29.61,7,232.27,4.5,6.94,89.67,966,65.5,Fall,Fashion,7,10
727.2,121.46,10,313.63,3.89,15.58,106.18,1036,63.82,Fall,Fashion,7,11
245.98,27.14,7,46.31,4.5,14.71,129.51,1018,33.4,Winter,Fashion,7,12
568.64,60.29,13,285.44,4.25,9.52,93.06,1364,61.37,Winter,Fashion,7,13
520.24,32.34,7,296.12,3.99,13.45,87.21,834,22.73,Spring,Fashion,7,14
305.2,37.82,6,103.61,4.22,20.72,99.87,1006,34.42,Spring,Fashion,7,15
472.8,31.81,10,254.65,4.23,8.51,125.11,465,66.27,Spring,Fashion,7,16
544.45,48.59,4,352.1,3.9,15.24,102.01,1425,38.23,Summer,Fashion,7,17
249.2,27.84,6,70.32,4.78,12.69,82.7,850,58.54,Summer,Fashion,7,18
435.5,57.47,9,170.89,4.45,21.73,77.33,1240,54.96,Winter,Home,8,1
189.44,34.58,6,65.11,4.59,5.1,82.79,1570,26.01,Winter,Home,8,2
324.63,16.29,7,228.83,4.6,9.76,88.76,2029,45.89,Spring,Home,8,3
477.81,66.81,5,202.03,4.09,8.97,79.86,1392,49.57,Spring,Home,8,4
254.29,8.09,5,126.69,4.83,7.38,96.1,1091,89.77,Spring,Home,8,5
272.04,36.04,10,132,4.8,15.06,83.06,2020,71.78,Summer,Home,8,6
233.83,19.57,11,69.26,4.88,6.09,105.86,881,20.86,Summer,Home,8,7
387.76,52.2,9,156.48,3.04,17.11,96.9,726,39.15,Summer,Home,8,8
386.26,41.19,6,179.22,4.81,2.16,74.72,1226,66.65,Fall,Home,8,9
382.07,29.85,8,171.04,4.49,7.24,79.68,688,93.88,Fall,Home,8,10
337.94,59.43,15,82.27,4.36,28.03,104.88,680,40.48,Fall,Home,8,11
331.25,53.15,7,110.53,3.76,19.08,101.51,846,49.62,Winter,Home,8,12
376.73,39.53,4,160.85,4.58,3.33,103.43,1055,41.94,Winter,Home,8,13
511.69,18.19,7,361.72,4.7,6.61,126.4,2406,3.73,Spring,Home,8,14
289.75,12.43,6,144.24,4.58,23.41,99.23,777,25.88,Spring,Home,8,15
297.72,18.64,3,198.03,4.64,4.93,92.41,769,32.8,Spring,Home,8,16
360.1,30.42,7,179.11,4.64,11.01,88.56,1692,31.52,Summer,Home,8,17
527.16,35.08,8,334.4,4.52,2.41,66.05,949,78.76,Summer,Home,8,18
470.52,75.24,8,150.47,4.22,7.24,118.41,1112,18.92,Winter,Fashion,9,1
474.87,37.08,9,286.32,4.33,14.65,99.06,841,37.11,Winter,Fashion,9,2
534.42,47.95,6,267.63,4.31,10.93,95.66,335,44.27,Spring,Fashion,9,3
392.52,11.15,14,252.05,4.65,9.1,102.55,1046,70.78,Spring,Fashion,9,4
369.15,42.71,7,165.4,4.69,14.03,111.71,1381,79.91,Spring,Fashion,9,5
197.27,25.6,6,62.97,4.74,6.12,112.36,885,17.82,Summer,Fashion,9,6
134.31,26.49,6,48.43,4.18,8.59,85.19,2382,27.98,Summer,Fashion,9,7
362.2,23.21,6,185.99,4.07,16.8,81.05,504,70.66,Summer,Fashion,9,8
198.08,23.58,8,61.34,4.4,1.59,100.74,567,38.45,Fall,Fashion,9,9
273.29,16.74,15,122.26,4.4,5.06,102.55,857,50.55,Fall,Fashion,9,10
294.42,42.17,4,88.51,4.52,5.96,86.69,674,83.97,Fall,Fashion,9,11
503.1,14.42,9,292.77,3.92,3.09,121.67,257,31.8,Winter,Fashion,9,12
411.92,25.08,10,259.15,4.11,18.42,72.23,702,66.87,Winter,Fashion,9,13
582.93,51.72,7,312.36,4.73,7.46,70.41,574,16.24,Spring,Fashion,9,14
436.3,104.32,9,88.41,4.08,14.21,118.9,861,51.57,Spring,Fashion,9,15
402.93,8.41,4,239.85,4.21,7.93,111.79,784,31.7,Spring,Fashion,9,16
179.34,22.26,6,55.82,4.81,7.02,73.5,849,46.77,Summer,Fashion,9,17
569.26,17,9,396.35,4.49,9.28,108.2,1161,72.07,Summer,Fashion,9,18
266.57,22.07,12,147.29,3.96,10.03,97.62,1494,36.9,Winter,Home,10,1
456.82,39.54,10,173.21,4.59,7.06,100.77,827,74.44,Winter,Home,10,2
194.19,23.64,12,72.4,3.19,12.98,94.81,867,85.96,Spring,Home,10,3
370.58,71.31,13,97.34,3.31,4.58,122.66,660,58.12,Spring,Home,10,4
460.17,42.75,5,251.69,2.91,22.34,104.25,452,66.49,Spring,Home,10,5
219.53,5.49,6,105.92,3.93,19.02,121.53,685,85.44,Summer,Home,10,6
201.76,19.45,5,135.04,4.69,16.32,71.16,1418,26.77,Summer,Home,10,7
183.28,27.87,8,59.19,3.81,25.3,105.33,1113,49.52,Summer,Home,10,8
374.64,23.39,11,207.07,4.35,18.81,83.01,706,68.58,Fall,Home,10,9
371.27,28.5,3,145.14,3.75,11,103.58,329,48.59,Fall,Home,10,10
488.09,31.77,7,253.69,4.31,23.01,129.16,546,32.66,Fall,Home,10,11
461.17,39.86,12,223.72,4.11,18.07,93,618,43.2,Winter,Home,10,12
NaN,18.01,7,310.41,4.53,9.62,77.66,1637,NaN,Winter,Home,10,13
363.54,50.59,8,107.68,4.08,7.09,92.47,916,73.35,Spring,Home,10,14
246.76,31.1,5,79.88,3.82,11,98.32,714,55,Spring,Home,10,15
220.03,11.36,7,82.25,4.02,5.03,110.3,689,67.92,Spring,Home,10,16
349.34,65.48,4,68.31,4.61,11.99,148.07,874,62.71,Summer,Home,10,17
314.82,36.99,13,125.98,3.98,15.25,127.87,1915,46.44,Summer,Home,10,18
354.34,37.01,6,216.03,4.54,12.55,109.67,2954,29.7,Winter,Electronics,11,1
493.34,43.15,8,200.23,4.93,5.89,128.4,1165,23.35,Winter,Electronics,11,2
399.87,24.79,8,187.25,4.57,11.07,109.89,1080,38.77,Spring,Electronics,11,3
523.02,26.22,6,260.27,4.65,4.84,113.92,1047,71.3,Spring,Electronics,11,4
350.79,20.21,7,118.1,4.22,12.65,96.41,822,47.32,Spring,Electronics,11,5
511.17,26.05,9,215.29,4.62,16.6,78.2,183,38.19,Summer,Electronics,11,6
346.66,33.54,4,163.47,4.31,2.81,106.09,1428,38.34,Summer,Electronics,11,7
386.76,13.28,8,184.67,4.45,5.39,82.29,1141,52.56,Summer,Electronics,11,8
655.5,42.44,10,355.88,4.11,17.59,89.82,1445,28.24,Fall,Electronics,11,9
713.84,21.51,9,433.03,4.23,1.79,91.9,375,32.64,Fall,Electronics,11,10
324.08,23.93,9,103.99,4.56,5.55,125.48,696,74.61,Fall,Electronics,11,11
451.36,19.29,4,211.83,4.07,25.2,107.21,1730,69.72,Winter,Electronics,11,12
352.07,30.61,7,128.13,4.81,11.88,120.69,1393,58.35,Winter,Electronics,11,13
412.48,9.67,5,203.04,3.58,10.52,131.64,932,75.34,Spring,Electronics,11,14
514.55,30.02,14,302.86,4.04,4.09,101.63,1876,80.93,Spring,Electronics,11,15
293.79,35.46,8,120.78,4.78,26.71,92.65,1864,46.76,Spring,Electronics,11,16
523.68,28.65,10,275.46,3.22,5.8,106.9,1200,65.87,Summer,Electronics,11,17
520.01,29.25,9,281.59,4.28,21.12,102.87,931,59.43,Summer,Electronics,11,18
308.68,15.66,4,170.07,3.1,14.96,94.57,1028,11.95,Winter,Fashion,12,1
297.55,47.01,5,37.45,3.29,20.84,108.93,452,82.02,Winter,Fashion,12,2
368.95,18.54,6,223.61,4.85,2.95,115.97,845,30.71,Spring,Fashion,12,3
244.23,15.28,8,148.64,3.41,4.21,97.44,1385,33.09,Spring,Fashion,12,4
715.04,149.83,8,183.59,4.89,16.69,106.34,707,76.77,Spring,Fashion,12,5
318.26,48.92,5,140.38,4.47,19.42,112.54,1207,18.61,Summer,Fashion,12,6
518.79,10.83,10,427.83,4.25,8.43,95.8,1065,34.2,Summer,Fashion,12,7
401.96,22.96,8,260.23,3.56,12.65,95.06,1200,93.73,Summer,Fashion,12,8
596.38,88.47,7,272.67,4.67,18.21,114.01,1980,47.53,Fall,Fashion,12,9
813.77,56.41,15,487.64,4.66,6.38,106.9,599,37.69,Fall,Fashion,12,10
413.29,42.97,7,204.14,4.46,25.59,93.13,757,81.99,Fall,Fashion,12,11
193.44,22.07,10,81.03,3.91,13.96,101.1,2336,49.01,Winter,Fashion,12,12
349.17,33.28,0,148.2,4.55,2.13,86.73,967,58.95,Winter,Fashion,12,13
529.47,97.63,6,177.15,4.06,11.55,95.05,949,46.16,Spring,Fashion,12,14
408.04,30.54,7,194.25,3.98,16.07,89.83,456,39.43,Spring,Fashion,12,15
500.32,19.96,10,326.3,4.68,10.46,97.83,823,29.43,Spring,Fashion,12,16
211.45,22.23,6,71.05,4.03,9.69,105.16,1058,52.03,Summer,Fashion,12,17
300.77,63.86,5,93.02,3.98,21.46,101.25,1016,62.87,Summer,Fashion,12,18
376.63,48.16,9,130.35,3.87,1.99,130.91,458,31.13,Winter,Home,13,1
366.52,8.93,5,222.11,4.94,18.65,95.61,949,64.19,Winter,Home,13,2
656.63,31.89,5,451.3,4.73,12.77,95.14,1493,46.9,Spring,Home,13,3
155.19,23.9,5,50.14,3.68,6.24,75.47,1594,40.36,Spring,Home,13,4
584.85,27.47,7,335.09,4.03,9.63,95.15,776,33.14,Spring,Home,13,5
387.6,70.57,7,126.57,4.68,11.25,103.31,1283,15.09,Summer,Home,13,6
444.29,7.77,7,368.75,3.63,1.91,96.45,2614,48.28,Summer,Home,13,7
249.16,19.34,11,133.33,3.65,16.29,96.39,976,50.75,Summer,Home,13,8
435.86,22.13,8,221.15,4.47,21.26,92.05,1206,29.07,Fall,Home,13,9
509.38,63.65,7,244.94,4.59,13.63,117.47,1061,27.79,Fall,Home,13,10
475.23,54.52,6,219.81,3.8,8.23,121.62,1251,50.05,Fall,Home,13,11
358.72,63.25,3,84.65,3.35,16.68,89.16,1077,9.14,Winter,Home,13,12
346.2,21.53,7,194.11,4.53,6.94,91.08,1032,79.44,Winter,Home,13,13
476.82,31.71,9,246.42,4.76,13.43,101.17,1321,63.87,Spring,Home,13,14
239.83,15.53,8,98.99,4.49,19.89,109.93,291,5.04,Spring,Home,13,15
404.54,27.33,9,202.69,4.21,17.74,89.64,839,24.93,Spring,Home,13,16
427.93,52.41,6,153.69,4.5,10.15,95.32,610,76.01,Summer,Home,13,17
233.09,26.72,9,76.63,4.68,17.57,92.35,997,12.62,Summer,Home,13,18
402.86,41.57,9,172.57,4.07,11.77,102.24,1215,47.49,Winter,Electronics,14,1
434.98,58.27,7,103.47,4.49,24.68,91.74,933,45.82,Winter,Electronics,14,2
410.99,9.35,4,217.93,3.07,14.45,123.48,769,57.65,Spring,Electronics,14,3
433.53,23.98,11,186.94,4.77,10.35,97.04,657,44.74,Spring,Electronics,14,4
353.28,47.36,6,133.52,4.25,19.82,134.31,1472,24.33,Spring,Electronics,14,5
339.11,18.59,9,219.88,3.94,2.5,72.35,2600,74.65,Summer,Electronics,14,6
350.92,17.62,7,175.78,4.76,16.07,83.47,875,53.22,Summer,Electronics,14,7
349.34,44.08,6,129.5,3.98,7.41,103.04,767,76.78,Summer,Electronics,14,8
305.72,45.81,8,80.84,4.35,5.48,102.04,620,71.9,Fall,Electronics,14,9
430.56,19.38,13,218.54,4.72,13.68,83.72,759,64.33,Fall,Electronics,14,10
383.72,33.72,4,143.81,4.05,3.36,120.07,924,46.05,Fall,Electronics,14,11
418.31,28.56,9,238.57,4.26,9.61,77.35,1398,38.74,Winter,Electronics,14,12
454.22,32.5,7,148.2,4.87,2.74,114.73,667,23.5,Winter,Electronics,14,13
293.39,29.12,6,78.89,4.66,17.86,117.03,1856,56.14,Spring,Electronics,14,14
337.45,28.71,4,92.96,4.2,11.41,90.63,755,76.5,Spring,Electronics,14,15
354.92,17.19,6,140.88,4.33,3.92,113.3,696,56.14,Spring,Electronics,14,16
408.43,28.08,3,201.57,4.46,4.97,111.48,1019,62.57,Summer,Electronics,14,17
364.2,29.8,4,167.37,4.41,12.86,117.88,891,20.53,Summer,Electronics,14,18
441.79,11.15,18,214.31,4.92,9.73,94.54,685,52.64,Winter,Fashion,15,1
430.4,68.56,8,160.42,4.55,15.32,95.41,1384,52.29,Winter,Fashion,15,2
237.64,45.29,8,62.42,3.96,10.71,124.24,1245,69.61,Spring,Fashion,15,3
422.88,56.01,10,144.09,4.86,13.83,99.59,685,59.82,Spring,Fashion,15,4
202.32,14.66,4,140.36,3.77,15.35,74.52,1775,59.02,Spring,Fashion,15,5
347.3,31.82,8,159.63,3.5,17.63,112.05,1080,50.83,Summer,Fashion,15,6
368.45,25.07,8,192.96,2.83,10.95,106.64,298,50.32,Summer,Fashion,15,7
515.67,22.42,12,260.3,4.79,15.28,116.63,360,67.35,Summer,Fashion,15,8
530.81,72.9,8,253.72,4.84,14.81,111.91,1613,40.2,Fall,Fashion,15,9
187.16,34.17,5,41.79,3.27,2.62,120.03,1055,14.6,Fall,Fashion,15,10
597.51,63.34,6,330.46,4.67,3.49,75.58,577,25.66,Fall,Fashion,15,11
435.57,32.44,8,238.16,4.17,6.2,75.7,490,41.8,Winter,Fashion,15,12
382.57,8.88,11,205.58,4.53,10.06,79.3,1096,68.87,Winter,Fashion,15,13
339.51,40.54,8,165.86,4.49,8.2,117.52,1955,15.29,Spring,Fashion,15,14
303.66,19.55,4,135.44,4.17,21.4,102.03,1135,60.47,Spring,Fashion,15,15
276.28,7.27,2,178.64,4.62,5.61,77,1288,91.95,Spring,Fashion,15,16
426.9,54.52,11,148.64,3.47,13.14,101,517,56.17,Summer,Fashion,15,17
195.05,18.74,7,93.04,4.5,28.82,69.67,760,78.11,Summer,Fashion,15,18
539.29,124.28,8,150.72,3.57,9.1,71.33,1042,17.91,Winter,Home,16,1
573.66,13.58,2,392.68,3.57,14.4,110.49,1417,52.33,Winter,Home,16,2
310.83,13.58,8,158.57,4.21,14.86,98.99,838,57.36,Spring,Home,16,3
480.94,26.67,13,230.18,4.52,9.58,120.11,696,33.9,Spring,Home,16,4
268.68,11.77,9,147.13,4.3,10.48,81.34,975,46.64,Spring,Home,16,5
443.41,46.18,7,150.45,4.25,12.82,104.05,347,37.44,Summer,Home,16,6
553.05,18.17,6,362.61,4.84,10.85,112.42,1345,39.46,Summer,Home,16,7
432.42,59.21,9,158.03,4.66,7.5,81.68,1214,64.8,Summer,Home,16,8
455.74,21.38,9,338.74,3.62,15.15,106.36,1772,29.18,Fall,Home,16,9
450.06,15.31,9,219.84,4.31,16.95,107.15,838,60.28,Fall,Home,16,10
306.43,16.72,7,176.34,3.86,1.92,117.02,1855,26.4,Fall,Home,16,11
626.33,43.82,7,366.11,4.31,18.69,113.36,1198,26.32,Winter,Home,16,12
296.36,34.33,7,70.31,3.87,5.02,87.98,770,66.63,Winter,Home,16,13
433.95,57.73,11,133.26,4.79,4.55,106.51,449,75.29,Spring,Home,16,14
221.75,35.35,14,65.2,4.25,12.08,91.3,1723,72.14,Spring,Home,16,15
293.92,10,9,114.83,3.93,16.56,98.99,448,63.26,Spring,Home,16,16
394.27,31.56,3,192.67,3.05,9.31,94.83,784,72.2,Summer,Home,16,17
331.1,5.64,7,198.55,4.25,21.77,87.15,660,84.13,Summer,Home,16,18
222.08,33.1,4,59.09,3.91,17.16,89.7,689,37,Winter,Fashion,17,1
383.18,33.36,6,186.33,3.31,16.39,115.61,662,43.6,Winter,Fashion,17,2
323.37,54.93,4,61.74,4.77,8.3,119.51,518,27.5,Spring,Fashion,17,3
258.39,29.85,8,98.26,4.02,23.16,89.34,837,37.54,Spring,Fashion,17,4
237.2,25.59,8,86.5,4.56,5.44,85.41,1100,51.04,Spring,Fashion,17,5
633.16,40.1,2,423.15,4.2,10.6,58.53,798,40.15,Summer,Fashion,17,6
410.23,31.49,7,204.72,4.33,13.68,89.2,994,62.44,Summer,Fashion,17,7
325.47,49.34,6,101.51,4.23,22.02,129.5,746,65.51,Summer,Fashion,17,8
520.27,53.34,8,213.01,4.9,3.75,131.93,946,65.48,Fall,Fashion,17,9
505.22,43.3,7,223.14,4.26,15.81,82.58,318,54.15,Fall,Fashion,17,10
373.74,11.29,12,199.21,4.47,0.95,115.43,807,35.84,Fall,Fashion,17,11
393.61,42.27,11,147.03,4.06,9.83,104.84,1103,58.82,Winter,Fashion,17,12
388.73,54.99,8,100.58,4.29,8.11,137.43,370,85.47,Winter,Fashion,17,13
508.02,65.01,10,206.76,3.78,22.6,94.58,596,66,Spring,Fashion,17,14
263.1,14.64,8,118.02,4.61,2.37,108.18,783,55.97,Spring,Fashion,17,15
459.85,31.64,12,182.84,4.35,21.62,117.86,359,60.3,Spring,Fashion,17,16
211.78,28.56,6,100.12,4.51,6.74,81.83,944,45.58,Summer,Fashion,17,17
264.32,39.9,7,148.6,4.23,11.7,88.12,1856,22.37,Summer,Fashion,17,18
519.93,32.63,4,244.31,4.47,7.05,111.83,1262,47,Winter,Electronics,18,1
482.19,35.35,11,224.41,4.8,11.38,110.49,1168,66.76,Winter,Electronics,18,2
449.08,40.9,7,206.81,3.39,20.53,114.44,399,37.14,Spring,Electronics,18,3
378.11,21.84,3,182.93,4.08,4.21,104.97,1249,19.31,Spring,Electronics,18,4
